text,where,bg,cs,da,de,el,es,fi,fr,hi,hr,hu,id,it,ja,ko,ms,nb,nl,pl,pt,pt-BR,ro,ru,sk,sr,sv,th,tr,uk,vi,zh
Desktop,docs/_includes/footer.html docs/_includes/i18n-js.html docs/_includes/nav.html,Компютър,Počítač,Computer,Desktop,Επιφάνεια εργασίας,Escritorio,Tietokone,Bureau,डेस्कटॉप,Računalo,Számítógép,Desktop,Desktop,デスクトップ,데스크톱,Komputer,Datamaskin,Desktop,Desktop,Computador,Computador,Computer,Компьютер,Počítač,Рачунар,Skrivbord,คอมพิวเตอร์,Masaüstü,Комп’ютер,Máy tính,桌面端
Android,docs/_includes/footer.html docs/_includes/nav.html,Android,Android,Android,Android,Android,Android,Android,Android,एंड्रॉइड,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android,Android
KOReader plugin,docs/_includes/footer.html,Приставка за KOReader,Modul pro KOReader,KOReader-udvidelse,KOReader-Plugin,Πρόσθετο KOReader,Plugin para KOReader,KOReader-lisäosa,Plugin KOReader,KOReader प्लगइन,Dodatak za KOReader,KOReader-bővítmény,Plugin KOReader,Plugin per KOReader,KOReader プラグイン,KOReader 플러그인,Pemalam KOReader,KOReader-tillegg,KOReader-plugin,Wtyczka KOReader,Extensão KOReader,Extensão KOReader,Extensie KOReader,Плагин KOReader,Doplnok pre KOReader,Додатак за KOReader,KOReader-tillägg,ปลั๊กอิน KOReader,KOReader eklentisi,Плагін KOReader,Plugin KOReader,KOReader 插件
Resources,docs/_includes/footer.html,Ресурси,Zdroje,Ressourcer,Ressourcen,Πόροι,Recursos,Aineistot,Ressources,संसाधन,Resursi,Források,Sumber Daya,Risorse,リソース,리소스,Sumber,Ressurser,Bronmateriaal,Zasoby,Recursos,Recursos úteis,Resurse,Ресурсы,Zdroje,Ресурси,Resurser,แหล่งข้อมูล,Kaynaklar,Ресурси,Tài nguyên,资源
Download,docs/_includes/footer.html docs/_includes/nav.html docs/_includes/pages/home.html,Изтегляне,Stáhnout,Hent,Download,Λήψη,Descargar,Lataus,Télécharger,डाउनलोड,Preuzimanje,Letöltés,Unduh,Download,ダウンロード,다운로드,Muat turun,Nedlasting,Downloaden,Pobierz,Transferir,Download,Descărcare,Скачать,Stiahnuť,Преузимање,Ladda ner,ดาวน์โหลด,İndir,Завантажити,Tải xuống,下载
Source code,docs/_includes/footer.html,Изходен код,Zdrojový kód,Kildekode,Quellcode,Πηγαίος κώδικας,Código fuente,Lähdekoodi,Code source,सोर्स कोड,Izvorni kod,Forráskód,Kode sumber,Codice sorgente,ソースコード,소스 코드,Kod sumber,Kildekode,Broncode,Kod źródłowy,Código-fonte,Código-fonte,Cod sursă,Исходный код,Zdrojový kód,Изворни код,Källkod,ซอร์สโค้ด,Kaynak kodu,Вихідний код,Mã nguồn,源代码
Support the project,docs/_includes/footer.html docs/_includes/pages/home.html,Подкрепете проекта,Podpořte projekt,Støt projektet,Das Projekt unterstützen,Υποστηρίξτε το έργο,Apoyar el proyecto,Tue projektia,Soutenir le projet,परियोजना का समर्थन करें,Podržite projekt,Támogasd a projektet,Dukung proyek ini,Sostieni il progetto,プロジェクトを支援,프로젝트 후원하기,Sokong projek ini,Støtt prosjektet,Steun het project,Wesprzyj projekt,Apoie o projeto,Apoie o projeto,Susține proiectul,Поддержать проект,Podporte projekt,Подржите пројекат,Stöd projektet,สนับสนุนโครงการ,Projeyi destekleyin,Підтримати проєкт,Ủng hộ dự án,支持本项目
Legal,docs/_includes/footer.html,Правна информация,Právní informace,Juridisk,Rechtliches,Νομικά,Aviso legal,Lakiasiat,Mentions légales,कानूनी,Pravno,Jogi tudnivalók,Hukum & Legal,Note legali,法的情報,법적 공지,Perundangan,Juridisk,Juridisch,Kwestie prawne,Aspetos legais,Jurídico,Juridic,Юридическая информация,Právne informácie,Правне информације,Juridiskt,ข้อกฎหมาย,Yasal,Правова інформація,Pháp lý,法律声明
Terms,docs/_includes/footer.html,Условия,Podmínky,Vilkår,Nutzungsbedingungen,Όροι χρήσης,Términos y condiciones,Ehdot,Conditions d'utilisation,शर्तें,Uvjeti,Feltételek,Syarat & Ketentuan,Termini di servizio,利用規約,이용약관,Terma,Vilkår,Voorwaarden,Regulamin,Termos,Termos,Termeni,Условия использования,Podmienky,Услови,Villkor,ข้อกำหนด,Şartlar,Умови,Điều khoản,服务条款
Contact,docs/_includes/footer.html,Контакт,Kontakt,Kontakt,Kontakt,Επικοινωνία,Contacto,Yhteystiedot,Contact,संपर्क करें,Kontakt,Kapcsolat,Kontak,Contatti,お問い合わせ,문의하기,Hubungi,Kontakt,Contact,Kontakt,Contacto,Contato,Contact,Контакты,Kontakt,Контакт,Kontakt,ติดต่อ,İletişim,Контакти,Liên hệ,联系我们
Lingueez on a phone,tools/site/build_hero.py,Lingueez на телефон,Lingueez v telefonu,Lingueez på telefonen,Lingueez auf dem Smartphone,Το Lingueez στο κινητό,Lingueez en el teléfono,Lingueez puhelimessa,Lingueez sur smartphone,फोन पर Lingueez,Lingueez na mobitelu,A Lingueez telefonon,Lingueez di ponsel,Lingueez sullo smartphone,スマートフォン版 Lingueez,모바일 Lingueez,Lingueez pada telefon,Lingueez på telefonen,Lingueez op je telefoon,Lingueez na telefonie,O Lingueez no telemóvel,O Lingueez no celular,Lingueez pe telefon,Lingueez на смартфоне,Lingueez v telefóne,Lingueez на телефону,Lingueez på telefonen,Lingueez บนมือถือ,Telefonda Lingueez,Lingueez на смартфоні,Lingueez trên điện thoại,手机端 Lingueez
Today at a glance,tools/site/build_hero.py,Днешният ден накратко,Dnešek v kostce,Dagen i dag kort fortalt,Heute auf einen Blick,Η σημερινή εικόνα,Resumen de hoy,Tämä päivä lyhyesti,Aujourd'hui en un coup d'œil,आज का अवलोकन,Današnji dan ukratko,A mai nap röviden,Sekilas hari ini,Panoramica di oggi,今日の概要,오늘의 한눈에 보기,Hari ini secara ringkas,Dagen i dag kort fortalt,Vandaag in één oogopslag,Dzisiejsze podsumowanie,O dia de hoje num relance,O dia de hoje num relance,Ziua de azi pe scurt,Сегодня в кратком обзоре,Dnešok v skratke,Данашњи дан укратко,Dagen i korthet,สรุปวันนี้,Bugüne genel bakış,Огляд дня,Tổng quan hôm nay,今日概览
Your vocabulary,tools/site/build_hero.py,Вашите думи,Vaše slovní zásoba,Dit ordforråd,Ihr Vokabular,Το λεξιλόγιό σας,Tu vocabulario,Sinun sanastosi,Votre vocabulaire,आपकी शब्दावली,Vaš vokabular,A szókincsed,Kosakata Anda,Il tuo vocabolario,マイ語彙,내 어휘集,Kosa kata anda,Ordforrådet ditt,Jouw woordenschat,Twoje słownictwo,O seu vocabulário,Seu vocabulário,Vocabularul tău,Ваш словарный запас,Vaša slovná zásoba,Ваш речник,Ditt ordförråd,คลังคำศัพท์ของคุณ,Kelime bilginiz,Ваш словник,Vốn từ của bạn,您的词汇库
Review in your pocket,tools/site/build_hero.py,Преговор в джоба ви,Opakování v kapse,Repetition i lommen,Wiederholen für die Hosentasche,Επανάληψη στην τσέπη σας,Repasa en tu bolsillo,Kertausta taskussa,Révisez où que vous soyez,आपकी जेब में समीक्षा,Ponavljanje u džepu,Ismétlés a zsebedben,Ulasan di dalam saku Anda,Ripasso sempre a portata di mano,ポケットの中で復習,주머니 속의 복습,Ulang kaji dalam poket,Repetisjon i lomma,Herhalen in je broekzak,Powtórki w kieszeni,Revisão no bolso,Revisão no bolso,Recapitulare în buzunar,Повторение всегда под рукой,Opakovanie vo vrecku,Понављање у џепу,Öva i fickan,ทบทวนได้ในกระเป๋า,Cebinizde tekrar yapın,Повторення в кишені,Ôn tập ngay trên điện thoại,随身口袋复习
Test yourself,tools/site/build_hero.py docs/_includes/pages/mobile.html,Проверете се,Vyzkoušejte se,Test dig selv,Testen Sie sich selbst,Δοκιμάστε τις γνώσεις σας,Ponte a prueba,Testaa itsesi,Testez-vous,स्वयं का परीक्षण करें,Provjerite se,Tedd próbára magad,Uji diri Anda,Mettiti alla prova,テストする,자가 테스트,Uji diri anda,Test deg selv,Test jezelf,Sprawdź się,Ponha-se à prova,Teste você mesmo,Testează-te,Проверьте себя,Vyskúšajte sa,Проверите се,Testa dig själv,ทดสอบตัวเอง,Kendinizi test edin,Перевірте себе,Tự kiểm tra,自我测试
Listen hands-free,tools/site/build_hero.py docs/_includes/pages/home.html docs/_includes/pages/mobile.html,Слушайте в движение,Poslouchejte za chůze,Lyt undervejs,Freihändig anhören,Ακρόαση χωρίς χέρια,Escucha en modo manos libres,Kuuntele liikkeellä,Écoutez les mains libres,हैंड्स-फ्री सुनें,Slušajte u hodu,Hallgasd útközben,Dengarkan tanpa menggenggam,Ascolta a mani libere,ハンズフリーで聴く,핸즈프리로 듣기,Dengar sambil berjalan,Hør på underveis,Handsfree luisteren,Słuchaj bez użycia rąk,Ouça em movimento,Ouça enquanto anda,Ascultă din mers,Прослушивание без рук,Počúvajte počas chôdze,Слушајте у ходу,Lyssna handsfree,ฟังได้ระหว่างเดินทาง,Eller serbest dinleyin,Слухайте на ходу,Nghe rảnh tay,解放双手听词
See your progress,tools/site/build_hero.py,Вижте напредъка си,Sledujte svůj pokrok,Se hvordan det går,Fortschritt anzeigen,Δείτε την πρόοδό σας,Consulta tu progreso,"Katso, miten edistyt",Consultez vos progrès,अपनी प्रगति देखें,Pratite svoj napredak,"Nézd meg, hol tartasz",Lihat kemajuan Anda,Guarda i tuoi progressi,進捗を確認,학습 진도 확인,Lihat kemajuan anda,Se hvordan du ligger an,Bekijk je voortgang,Zobacz swoje postępy,Veja a sua evolução,Veja sua evolução,Vezi-ți progresul,Отслеживайте свой прогресс,Sledujte svoj pokrok,Пратите свој напредак,Se dina framsteg,ดูความคืบหน้า,İlerlemenizi görün,Дивіться свій прогрес,Xem tiến trình của bạn,查看您的进度
More about Android,tools/site/build_hero.py,Още за Android,Více o Androidu,Mere om Android,Mehr über Android,Περισσότερα για το Android,Más sobre Android,Lisää Androidista,En savoir plus sur Android,एंड्रॉइड के बारे में अधिक,Više o Androidu,Bővebben az Androidról,Lebih lanjut tentang Android,Scopri di più su Android,Android について詳しく,Android 버전 자세히 보기,Lagi tentang Android,Mer om Android,Meer over Android,Więcej o wersji na Androida,Mais sobre o Android,Mais sobre o Android,Mai multe despre Android,Подробнее об Android,Viac o Androide,Више о Android-у,Mer om Android,อ่านเพิ่มเติมเกี่ยวกับ Android,Android hakkında daha fazla bilgi,Детальніше про застосунок,Tìm hiểu thêm về Android,了解更多 Android 版信息
Lingueez on an e-reader,tools/site/build_hero.py,Lingueez на електронен четец,Lingueez ve čtečce,Lingueez på e-bogslæseren,Lingueez auf dem E-Reader,Το Lingueez σε e-reader,Lingueez en un e-reader,Lingueez lukulaitteella,Lingueez sur liseuse,ई-रीडर पर Lingueez,Lingueez na e-čitaču,A Lingueez e-könyv-olvasón,Lingueez di e-reader,Lingueez su e-reader,電子書籍リーダー版 Lingueez,전자책 리더 Lingueez,Lingueez pada pembaca e-buku,Lingueez på e-bokleseren,Lingueez op een e-reader,Lingueez na e-czytniku,O Lingueez no leitor de livros digitais,O Lingueez no leitor de e-books,Lingueez pe e-reader,Lingueez на ридере,Lingueez v čítačke,Lingueez на е-читачу,Lingueez på en e-läsare,Lingueez บนเครื่องอ่านอีบุ๊ก,E-okuyucuda Lingueez,Lingueez на е-читачі,Lingueez trên máy đọc sách,电子书阅读器端 Lingueez
Save a word from a book,tools/site/build_hero.py,Запазете дума от книга,Uložte slovo z knihy,Gem et ord fra bogen,Ein Wort aus einem Buch speichern,Αποθήκευση λέξης από βιβλίο,Guarda una palabra de un libro,Tallenna sana kirjasta,Enregistrez un mot depuis un livre,किताब से एक शब्द सहेजें,Spremite riječ iz knjige,Ments el egy szót a könyvből,Simpan kata dari buku,Salva una parola da un libro,本から単語を保存,책에서 단어 저장하기,Simpan perkataan daripada buku,Lagre et ord fra boka,Sla een woord op uit een boek,Zapisz słowo z książki,Guarde uma palavra do livro,Salve uma palavra do livro,Salvează un cuvânt dintr-o carte,Сохраняйте слова прямо из книг,Uložte slovo z knihy,Сачувајте реч из књиге,Spara ett ord från en bok,บันทึกคำจากหนังสือ,Kitaptan kelime kaydedin,Збережіть слово з книжки,Lưu một từ từ sách,阅读书籍时一键保存生词
Browse your saved words,tools/site/build_hero.py,Прегледайте запазените думи,Projděte uložená slova,Bladr i dine gemte ord,Gespeicherte Wörter durchsuchen,Περιήγηση στις αποθηκευμένες λέξεις,Explora tus palabras guardadas,Selaa tallentamiasi sanoja,Parcourez vos mots enregistrés,अपने सहेजे गए शब्दों को ब्राउज़ करें,Pregledajte spremljene riječi,Lapozd át a mentett szavakat,Jelajahi kata-kata tersimpan Anda,Sfoglia le parole salvate,保存した単語を閲覧,저장된 단어 둘러보기,Semak perkataan yang disimpan,Bla gjennom de lagrede ordene,Blader door je opgeslagen woorden,Przeglądaj zapisane słowa,Percorra as palavras guardadas,Percorra as palavras salvas,Răsfoiește cuvintele salvate,Просматривайте сохраненные слова,Prejdite si uložené slová,Прегледајте сачуване речи,Bläddra bland dina sparade ord,เปิดดูคำที่บันทึกไว้,Kaydedilen kelimelerinize göz atın,Перегляд збережених слів,Duyệt các từ đã lưu,浏览已保存的生词
Flashcards on the device,tools/site/build_hero.py,Флаш карти на самия четец,Kartičky přímo ve čtečce,Flashcards direkte på læseren,Karteikarten auf dem Gerät,Κάρτες flashcard στη συσκευή,Tarjetas didácticas en el dispositivo,Muistikortit itse lukulaitteella,Cartes mémoire sur l'appareil,फ़्लैशकार्ड डिवाइस पर,Flash kartice na samom čitaču,Tanulókártyák magán az olvasón,Kartu kilat di perangkat,Flashcard sul dispositivo,デバイス上の単語カード,기기에서 플래시카드 학습,Kad imbas terus pada pembaca,Flash-kort rett på leseren,Flitskaarten op het apparaat,Fiszki na urządzeniu,Cartões de memória no próprio leitor,Flashcards no próprio leitor,Cartonașe chiar pe cititor,Карточки прямо на устройстве,Kartičky priamo v čítačke,Флеш-картице на самом читачу,Flersvarskort på enheten,แฟลชการ์ดบนตัวเครื่องอ่าน,Cihazda bilgi kartları,Флешкартки на пристрої,Thẻ ghi nhớ (Flashcards) trên thiết bị,设备端抽词卡片
More about the e-reader,tools/site/build_hero.py,Още за електронния четец,Více o čtečce,Mere om e-bogslæseren,Mehr über den E-Reader,Περισσότερα για το e-reader,Más sobre el e-reader,Lisää lukulaitteesta,En savoir plus sur la liseuse,ई-रीडर के बारे में अधिक,Više o e-čitaču,Bővebben az e-könyv-olvasóról,Lebih lanjut tentang e-reader,Scopri di più sull'e-reader,電子書籍リーダーについて詳しく,전자책 리더 버전 자세히 보기,Lagi tentang pembaca e-buku,Mer om e-bokleseren,Meer over de e-reader,Więcej o wersji na e-czytnik,Mais sobre o leitor de livros digitais,Mais sobre o leitor de e-books,Mai multe despre e-reader,Подробнее о версии для ридера,Viac o čítačke,Више о е-читачу,Mer om e-läsaren,อ่านเพิ่มเติมเกี่ยวกับเครื่องอ่านอีบุ๊ก,E-okuyucu hakkında daha fazla bilgi,Детальніше про плагін,Tìm hiểu thêm về máy đọc sách,了解更多阅读器插件信息
Lingueez on the desktop app,tools/site/build_hero.py,Lingueez на компютър,Lingueez v počítači,Lingueez på computeren,Lingueez auf der Desktop-App,Το Lingueez στην εφαρμογή υπολογιστή,Lingueez en la aplicación de escritorio,Lingueez tietokoneella,Lingueez sur l'application bureau,डेस्कटॉप ऐप पर Lingueez,Lingueez na računalu,A Lingueez számítógépen,Lingueez di aplikasi desktop,Lingueez sull'app desktop,デスクトップアプリ版 Lingueez,데스크톱 앱 Lingueez,Lingueez pada komputer,Lingueez på datamaskinen,Lingueez op de desktop-app,Lingueez w aplikacji na komputer,O Lingueez no computador,O Lingueez no computador,Lingueez pe computer,Lingueez на ПК,Lingueez v počítači,Lingueez на рачунару,Lingueez på skrivbordsappen,Lingueez บนคอมพิวเตอร์,Masaüstü uygulamasında Lingueez,Lingueez на комп’ютері,Lingueez trên ứng dụng máy tính,桌面端应用 Lingueez
Build a deck,tools/site/build_hero.py docs/_includes/pages/home.html,Съставете тесте,Sestavte balíček,Byg en bunke,Ein Deck erstellen,Δημιουργία σετ καρτών,Crea un mazo,Kokoa pakka,Créer un paquet,एक डेक बनाएं,Složite špil,Állíts össze egy paklit,Buat dek,Crea un mazzo,デッキを作成,덱 만들기,Bina satu set kad,Sett sammen en bunke,Maak een leerset aan,Stwórz talię,Monte um baralho,Monte um baralho,Alcătuiește un pachet,Создавайте колоды,Zostavte balíček,Саставите шпил,Skapa en kortlek,สร้างชุดการ์ด,Deste oluşturun,Створіть колоду,Tạo bộ thẻ,创建词卡组
